run_id,algorithm,depth,seed,objective_kind,p_opt,p_feas,p_opt_given_feas,P_feasible_top1,P_feasible_top3,P_feasible_top5,P_feasible_top10,P_feasible_all,Q_feasible_top1,Q_feasible_top3,Q_feasible_top5,Q_feasible_top10,energy_top1_mass,energy_top5_mass,energy_top10_mass,energy_top20_mass,energy_top50_mass,energy_top100_mass,shannon_entropy_full,shannon_entropy_feasible_conditional
cvarr-f244a7f7be41d9a321cba63c842f68296f018295852ac61d5b8f0f70198a4e78,penalty_x,110,8607,cvar_0.05,0.00033565054355210936,0.010179571498520012,0.03297295407777321,0.00033565054355210936,0.0010389576990319773,0.002538201190908537,0.005921712778418977,0.010179571498520012,0.03297295407777321,0.10206300915348249,0.2493426360115022,0.5817251521127312,0.00033565054355210936,0.002538201190908537,0.004782438695380598,0.010111209324839882,0.016129038724441352,0.02256543722297847,9.269595722751664,2.7407357983579543
cvarr-91f82f3e75c34b24739d19d97adaa303ee9cb19ef3891f0a9354adcacfe9fa36,penalty_x,110,8607,cvar_0.10,1.7666727790184763e-05,0.004935488584946916,0.0035795296627911823,1.7666727790184763e-05,0.0009657183351912434,0.00184312484585739,0.003661919310249177,0.004935488584946916,0.0035795296627911823,0.19566823396910568,0.3734432395363779,0.7419567986476385,1.7666727790184763e-05,0.00184312484585739,0.0033257088087807335,0.0049438587744791195,0.00992194767097893,0.018045862312904084,9.273716552569358,2.573857991591502
cvarr-b9432b61f79f46591a16ccc2174f9e097f6c4ad20b9ee9e34d0fa8244f8ad22b,penalty_x,110,8607,cvar_0.25,0.00024982259890792295,0.002710092504801773,0.09218231424399144,0.00024982259890792295,0.0008798240802341367,0.0016458512820930575,0.001972765718167824,0.002710092504801773,0.09218231424399144,0.3246472504813966,0.6073044662412517,0.7279329818714508,0.00024982259890792295,0.0016458512820930575,0.0021475044772311033,0.0028170050365709486,0.007478284470525581,0.013653952348557352,9.269637494287416,2.4660725803946106
cvarr-3055513b92d0aba50193dbf5e22045b3e5b918f74ac7d76e57c3f4989f0c8a56,penalty_x,110,8607,cvar_0.50,0.00012286233423419667,0.0026695389201971094,0.046023803325978455,0.00012286233423419667,0.0005516252288689773,0.0009845321317232497,0.0014191803845950346,0.0026695389201971094,0.046023803325978455,0.20663689324606183,0.3688023142403016,0.5316200388980459,0.00012286233423419667,0.0009845321317232497,0.001661042993100922,0.0027727638640983603,0.005002580031298452,0.009294036241240821,9.265486754856083,2.804439747073333
cvarr-9c2a99d735c0d9a1051c1648b03fed7664855bdc7e351a09bd430d4979a8ab6e,penalty_x,110,8607,expectation,6.638303384792269e-06,0.001155556596759531,0.005744680445257055,6.638303384792269e-06,0.00021597312825691545,0.0003222200657777353,0.00044675733060786356,0.001155556596759531,0.005744680445257055,0.1868996541256032,0.27884403644211003,0.3866165723606118,6.638303384792269e-06,0.0003222200657777353,0.00047885162535088466,0.0011600828863474837,0.003055088526701826,0.007168985788795443,9.276656373626576,2.5874352829737193
cvarr-1d4f860c6b23fff81b38665183de332686940b9427a195959f14b419f40fdf68,penalty_x,110,8608,cvar_0.05,0.00030154769041283296,0.00953433291104701,0.031627560441427734,0.00030154769041283296,0.0007885185915392257,0.001440371178804517,0.005028264606366993,0.00953433291104701,0.031627560441427734,0.08270306888755731,0.15107204586234058,0.5273850465763541,0.00030154769041283296,0.001440371178804517,0.004080240967435426,0.0087690433576883,0.014881658981214962,0.02256331072135087,9.262379271962981,2.5742976546992593
cvarr-bf7a792bfa42eb5d8211a213fafebcb30cce82b778ebb9a69d9ec1e43f9bacdf,penalty_x,110,8608,cvar_0.10,0.00014247150904116434,0.007337562177504269,0.01941673618493592,0.00014247150904116434,0.001196540555317517,0.0020086308173768806,0.0032699958957805174,0.007337562177504269,0.01941673618493592,0.16307058480347997,0.2737463436473499,0.4456515415713648,0.00014247150904116434,0.0020086308173768806,0.0030913613133460413,0.0060175189840492626,0.013807690568078122,0.020191459780817402,9.263754155325557,2.7157713095117173
cvarr-2313d414e3bf787b9cf4d8dc589a72d011cda97c878ad21b3da490a270d2123d,penalty_x,110,8608,cvar_0.25,7.937121608759752e-05,0.0029920251226309984,0.026527590121904948,7.937121608759752e-05,0.0004895924718739651,0.0006750832582600801,0.0017441263059738699,0.0029920251226309984,0.026527590121904948,0.1636324735948234,0.22562753673219643,0.5829250205092513,7.937121608759752e-05,0.0006750832582600801,0.0017261505672275996,0.0029882872595578588,0.006263956118501587,0.011928708309399494,9.269006168295252,2.7217506268666884
cvarr-ad0e5501f61af4ed909e7712c4bb5fafef8606b8598f4ba235d02d5065f604ed,penalty_x,110,8608,cvar_0.50,0.00022327663269191365,0.003249406780810933,0.06871304448875187,0.00022327663269191365,0.0006067310262446082,0.0007766722329617114,0.0011417525405901954,0.003249406780810933,0.06871304448875187,0.18672055152577427,0.23901969970281234,0.3513726097122428,0.00022327663269191365,0.0007766722329617114,0.0013312085993585974,0.003192586147533979,0.006732147024071108,0.010531108791535425,9.273201795767353,2.5725565866953892
cvarr-05c529464c8fd6e3f25ce43582bc5e0930b48e074d5667389a129c41ec37c265,penalty_x,110,8608,expectation,4.3427712274204166e-05,0.0015993247363103298,0.027153780147484406,4.3427712274204166e-05,0.00023779688259195804,0.00026716518244982747,0.0006535601423554253,0.0015993247363103298,0.027153780147484406,0.14868580294741118,0.16704874024907676,0.40864755450678514,4.3427712274204166e-05,0.00026716518244982747,0.0003941514703701557,0.0013509010920020026,0.004785822842570503,0.008035081497246375,9.276699332677792,2.5529450905262387
