algorithm,depth,n_parameters,evaluation_budget,nfev,optimizer_wall_time_s,wall_time_s,status
penalty_x,32,64,192,192,5.327403513016179,5.414993334095925,BUDGET_LIMITED
penalty_x,33,66,196,196,6.176767497090623,6.268966362113133,BUDGET_LIMITED
penalty_x,34,68,200,200,5.11659184191376,5.208361030789092,BUDGET_LIMITED
penalty_x,35,70,204,204,8.094094265950844,8.188845776952803,BUDGET_LIMITED
penalty_x,36,72,208,208,8.363061244832352,8.459267544094473,BUDGET_LIMITED
penalty_x,37,74,212,212,9.039788288995624,9.138497822917998,BUDGET_LIMITED
penalty_x,38,76,216,216,8.415541313122958,8.512863311218098,BUDGET_LIMITED
penalty_x,39,78,220,220,8.138211498968303,8.242567948065698,BUDGET_LIMITED
penalty_x,40,80,224,224,9.262006018077955,9.370436487952247,BUDGET_LIMITED
penalty_x,41,82,228,228,9.16023951699026,9.268684359034523,BUDGET_LIMITED
penalty_x,42,84,232,232,10.94448892492801,11.058093564817682,BUDGET_LIMITED
penalty_x,43,86,236,236,11.450281484983861,11.571534289047122,BUDGET_LIMITED
penalty_x,44,88,240,240,11.986686476971954,12.109992546029389,BUDGET_LIMITED
penalty_x,45,90,244,244,12.829125868855044,12.95368734607473,BUDGET_LIMITED
penalty_x,46,92,248,248,13.195095232920721,13.320706557948142,BUDGET_LIMITED
penalty_x,47,94,252,252,13.30643246602267,13.434883712092414,BUDGET_LIMITED
penalty_x,48,96,256,256,11.851706258952618,11.985317419050261,BUDGET_LIMITED
penalty_x,49,98,260,260,13.440132861956954,13.580791014945135,BUDGET_LIMITED
penalty_x,50,100,264,264,15.5687450109981,15.711531538981944,BUDGET_LIMITED
penalty_x,51,102,268,268,14.85321669606492,14.995094483019784,BUDGET_LIMITED
penalty_x,52,104,272,272,13.281134751159698,13.42717104498297,BUDGET_LIMITED
penalty_x,53,106,276,276,16.49273225106299,16.64018353819847,BUDGET_LIMITED
penalty_x,54,108,280,280,14.99222452682443,15.142889969982207,BUDGET_LIMITED
penalty_x,55,110,284,284,17.397802255814895,17.546847294084728,BUDGET_LIMITED
penalty_x,56,112,288,288,16.25073068914935,16.392813245067373,BUDGET_LIMITED
penalty_x,57,114,292,292,20.864898391999304,21.008074878016487,BUDGET_LIMITED
penalty_x,58,116,296,296,17.283631216036156,17.43814969714731,BUDGET_LIMITED
penalty_x,59,118,300,300,17.542752168141305,17.694302474847063,BUDGET_LIMITED
penalty_x,60,120,304,304,19.001517481170595,19.146956937853247,BUDGET_LIMITED
penalty_x,61,122,308,308,20.681996585801244,20.837327020941302,BUDGET_LIMITED
penalty_x,62,124,312,312,22.70137088210322,22.859530412126333,BUDGET_LIMITED
penalty_x,63,126,316,316,21.970644664019346,22.12347878795117,BUDGET_LIMITED
penalty_x,64,128,320,320,22.050768505083397,22.20027121109888,BUDGET_LIMITED
penalty_x,65,130,324,324,23.004813204985112,23.14933094405569,BUDGET_LIMITED
penalty_x,66,132,328,328,22.621396358124912,22.773435110924765,BUDGET_LIMITED
penalty_x,67,134,332,332,24.016570016974583,24.163075904129073,BUDGET_LIMITED
penalty_x,68,136,336,336,22.528295161901042,22.676063627935946,BUDGET_LIMITED
penalty_x,69,138,340,340,23.25263852882199,23.403376033063978,BUDGET_LIMITED
