p,penalty_x_p_opt,penalty_x_p_feas,penalty_x_p_opt_given_feasible,penalty_x_expected_penalized_cost,penalty_x_nfev,penalty_x_status,global_grover_p_opt,global_grover_p_feas,global_grover_p_opt_given_feasible,global_grover_expected_penalized_cost,global_grover_nfev,global_grover_status
89,0.00013030509217534664,0.14428688235109802,0.0009030972882085772,19.288307525948948,420,BUDGET_LIMITED,0.0007352195666435174,0.015166283096232362,0.04847724138989349,37.771921171253496,420,BUDGET_LIMITED
90,0.00015926354579888442,0.1356734323506734,0.0011738742290180878,19.519583145334273,424,BUDGET_LIMITED,0.0007387539558478011,0.015233595737909576,0.04849504795570847,37.75421583080232,424,BUDGET_LIMITED
91,0.0002444212330167808,0.15684890503009466,0.0015583228519821903,19.28686177654328,428,BUDGET_LIMITED,0.0007378140546015221,0.01525618941527923,0.04836162127500815,37.73556309320708,428,BUDGET_LIMITED
92,0.0002902505456148687,0.17030021092302597,0.0017043463659951609,18.988016422465904,432,BUDGET_LIMITED,0.0007377819267719927,0.01525618652399923,0.048359524551656555,37.73535047407209,432,BUDGET_LIMITED
93,0.00027622019358441226,0.17979733162881303,0.0015362863902488929,18.876317878103805,436,BUDGET_LIMITED,0.0007378325904611716,0.015252473520788856,0.048374618677784864,37.735320872791,436,BUDGET_LIMITED
94,0.000275744082879135,0.1838419472948074,0.0014998975312035512,18.88683911422698,440,BUDGET_LIMITED,0.0007379962970180402,0.015251761623131802,0.048387610248166193,37.7351933981933,440,BUDGET_LIMITED
95,0.0002823937815409814,0.18704019251633838,0.0015098026672332133,18.68582930789082,444,BUDGET_LIMITED,0.0007379136139879748,0.015253717520024862,0.048375985265182234,37.73515814567368,444,BUDGET_LIMITED
96,0.00027170435591430383,0.18842808774666506,0.0014419525197305022,18.68847082279442,448,BUDGET_LIMITED,0.0007421178838273204,0.015339910627354986,0.04837824038582952,37.72927792151762,448,BUDGET_LIMITED
97,0.00027031880350798966,0.18870479017246233,0.0014324957159854719,18.688072616160177,452,BUDGET_LIMITED,0.0007070147331342638,0.015213264816438064,0.04647357037855071,36.02738555006361,452,BUDGET_LIMITED
98,0.00023575346828397164,0.18839293957992537,0.0012513922698464696,18.87403575347969,456,BUDGET_LIMITED,0.0008161189254992881,0.0175853095719641,0.046409130425568955,34.43395271502612,456,BUDGET_LIMITED
99,0.00023301112875876752,0.1757141856959731,0.0013260803493801668,18.796819673848653,460,BUDGET_LIMITED,0.0008183055704733459,0.01773804552417638,0.04613279232810751,34.39395842498041,460,BUDGET_LIMITED
100,0.0001348414792719059,0.17759806548073492,0.0007592508336558031,19.02360400816378,464,BUDGET_LIMITED,0.0008439592737625252,0.0183336697978007,0.04603329737419871,34.154057582838085,464,BUDGET_LIMITED
101,0.0001438791568135757,0.17975610944377984,0.000800413166811307,18.976687077125437,468,BUDGET_LIMITED,0.0008719418955819544,0.01886663542194515,0.04621607807016484,34.11530598721373,468,BUDGET_LIMITED
102,0.00017391277324292292,0.18209436674786256,0.0009550694859425921,18.988755115447745,472,BUDGET_LIMITED,0.000883067841156081,0.019101907504876305,0.04622930149413888,34.012543362075185,472,BUDGET_LIMITED
103,0.00019327970135714617,0.17362680658360727,0.0011131904408094688,18.929541195252582,476,BUDGET_LIMITED,0.0009293825089780482,0.01995532344318504,0.046573161874529395,33.75392496383915,476,BUDGET_LIMITED
104,0.00033209913749498933,0.1787114069086721,0.001858298489389118,18.73217050427347,480,BUDGET_LIMITED,0.0009292260230666774,0.019954316067420663,0.046567670870154315,33.733287456467274,480,BUDGET_LIMITED
105,0.0004026084385192199,0.13868445741808183,0.0029030537813296976,18.806194967563354,484,BUDGET_LIMITED,0.0009333058542295409,0.020012110734965435,0.046637052262501026,33.6719565803635,484,BUDGET_LIMITED
106,0.00034904431745775286,0.13845356855239346,0.0025210207371843063,18.52635884737471,488,BUDGET_LIMITED,0.0009881227373030649,0.020921391281268294,0.047230259403817386,33.55333045082446,488,BUDGET_LIMITED
107,0.00033138360369007393,0.1400557781748493,0.0023660830563974732,18.44705634412088,492,BUDGET_LIMITED,0.0009613699338535616,0.020631012495928244,0.046598291481976396,33.4397345493181,492,BUDGET_LIMITED
108,0.0003068212206879945,0.14766193182678866,0.00207786270226983,18.31050362700588,496,BUDGET_LIMITED,0.0009694609450103274,0.02088132733653158,0.04642717052350736,33.42768156251124,496,BUDGET_LIMITED
109,0.00031316327596353104,0.14770606372524347,0.0021201788746199614,18.291716907591884,500,BUDGET_LIMITED,0.001026519660382785,0.021835821266171427,0.04701081071647594,33.29483468389526,500,BUDGET_LIMITED
110,0.0003578671392297369,0.14697022726160758,0.002434963501775989,18.369254680082744,504,BUDGET_LIMITED,0.001029783422714649,0.02194609805728336,0.046923303633599214,33.27459464773947,504,BUDGET_LIMITED
