group,stage,description,repeat_id,duration_ns,duration_ms
Simulation,qiskit_statevector_p1,Qiskit Statevector execution of bound p=1 circuit,29,8205736,8.205736
Simulation,qiskit_statevector_p1,Qiskit Statevector execution of bound p=1 circuit,30,9169434,9.169434
Simulation,qiskit_statevector_p2,Qiskit Statevector execution of bound p=2 circuit,0,14297927,14.297927
Simulation,qiskit_statevector_p2,Qiskit Statevector execution of bound p=2 circuit,1,14089559,14.089559
Simulation,qiskit_statevector_p2,Qiskit Statevector execution of bound p=2 circuit,2,13878167,13.878167
Simulation,qiskit_statevector_p2,Qiskit Statevector execution of bound p=2 circuit,3,15535885,15.535885
Simulation,qiskit_statevector_p2,Qiskit Statevector execution of bound p=2 circuit,4,13620108,13.620108
Simulation,qiskit_statevector_p2,Qiskit Statevector execution of bound p=2 circuit,5,13464389,13.464389
Simulation,qiskit_statevector_p2,Qiskit Statevector execution of bound p=2 circuit,6,15105807,15.105807
Simulation,qiskit_statevector_p2,Qiskit Statevector execution of bound p=2 circuit,7,13506998,13.506998
Simulation,qiskit_statevector_p2,Qiskit Statevector execution of bound p=2 circuit,8,13342112,13.342112
Simulation,qiskit_statevector_p2,Qiskit Statevector execution of bound p=2 circuit,9,15041317,15.041317
Simulation,qiskit_statevector_p2,Qiskit Statevector execution of bound p=2 circuit,10,13426669,13.426669
Simulation,qiskit_statevector_p2,Qiskit Statevector execution of bound p=2 circuit,11,13310243,13.310243
Simulation,qiskit_statevector_p2,Qiskit Statevector execution of bound p=2 circuit,12,15126194,15.126194
Simulation,qiskit_statevector_p2,Qiskit Statevector execution of bound p=2 circuit,13,13391223,13.391223
Simulation,qiskit_statevector_p2,Qiskit Statevector execution of bound p=2 circuit,14,13319560,13.31956
Simulation,qiskit_statevector_p2,Qiskit Statevector execution of bound p=2 circuit,15,14976837,14.976837
Simulation,qiskit_statevector_p2,Qiskit Statevector execution of bound p=2 circuit,16,13348564,13.348564
Simulation,qiskit_statevector_p2,Qiskit Statevector execution of bound p=2 circuit,17,13347291,13.347291
Simulation,qiskit_statevector_p2,Qiskit Statevector execution of bound p=2 circuit,18,15038021,15.038021
Simulation,qiskit_statevector_p2,Qiskit Statevector execution of bound p=2 circuit,19,13387396,13.387396
Simulation,qiskit_statevector_p2,Qiskit Statevector execution of bound p=2 circuit,20,13285006,13.285006
Simulation,qiskit_statevector_p2,Qiskit Statevector execution of bound p=2 circuit,21,15074438,15.074438
Simulation,qiskit_statevector_p2,Qiskit Statevector execution of bound p=2 circuit,22,13741534,13.741534
Simulation,qiskit_statevector_p2,Qiskit Statevector execution of bound p=2 circuit,23,13343625,13.343625
Simulation,qiskit_statevector_p2,Qiskit Statevector execution of bound p=2 circuit,24,15030447,15.030447
Simulation,qiskit_statevector_p2,Qiskit Statevector execution of bound p=2 circuit,25,13368290,13.36829
Simulation,qiskit_statevector_p2,Qiskit Statevector execution of bound p=2 circuit,26,13394569,13.394569
Simulation,qiskit_statevector_p2,Qiskit Statevector execution of bound p=2 circuit,27,15006162,15.006162
Simulation,qiskit_statevector_p2,Qiskit Statevector execution of bound p=2 circuit,28,13343555,13.343555
Simulation,qiskit_statevector_p2,Qiskit Statevector execution of bound p=2 circuit,29,13325060,13.32506
Simulation,qiskit_statevector_p2,Qiskit Statevector execution of bound p=2 circuit,30,15081201,15.081201
Analysis,core_metric_calculation,Calculate final metrics over all 16384 states,0,27543549,27.543549
