A,p,selected_start_id,shots,replicate_id,p_feas_hat,p_opt_hat,invalid_mass_hat,feasible_observation_count,exact_optimum_observation_count,most_frequent_state_index,most_frequent_canonical_bitstring,most_frequent_qiskit_display_bitstring,most_frequent_observation_count
2,2,2,256,157,0.02734375,0.0,0.97265625,7,0,513,10000000010000,00001000000001,4
2,2,2,256,158,0.05859375,0.00390625,0.94140625,15,1,0,00000000000000,00000000000000,3
2,2,2,256,159,0.0546875,0.0078125,0.9453125,14,2,0,00000000000000,00000000000000,4
2,2,2,256,160,0.07421875,0.0,0.92578125,19,0,1,10000000000000,00000000000001,4
2,2,2,256,161,0.0390625,0.0,0.9609375,10,0,1,10000000000000,00000000000001,3
2,2,2,256,162,0.08203125,0.0,0.91796875,21,0,9289,10010010001001,10010001001001,5
2,2,2,256,163,0.05078125,0.0078125,0.94921875,13,2,9,10010000000000,00000000001001,6
2,2,2,256,164,0.0625,0.0078125,0.9375,16,2,1,10000000000000,00000000000001,3
2,2,2,256,165,0.03125,0.0,0.96875,8,0,2,01000000000000,00000000000010,6
2,2,2,256,166,0.0546875,0.00390625,0.9453125,14,1,8704,00000000010001,10001000000000,5
2,2,2,256,167,0.046875,0.00390625,0.953125,12,1,8192,00000000000001,10000000000000,5
2,2,2,256,168,0.06640625,0.00390625,0.93359375,17,1,8192,00000000000001,10000000000000,5
2,2,2,256,169,0.0390625,0.0,0.9609375,10,0,8192,00000000000001,10000000000000,4
2,2,2,256,170,0.0546875,0.0,0.9453125,14,0,8193,10000000000001,10000000000001,4
2,2,2,256,171,0.0546875,0.0,0.9453125,14,0,0,00000000000000,00000000000000,3
2,2,2,256,172,0.0546875,0.00390625,0.9453125,14,1,0,00000000000000,00000000000000,3
2,2,2,256,173,0.03515625,0.0,0.96484375,9,0,8192,00000000000001,10000000000000,6
2,2,2,256,174,0.02734375,0.0,0.97265625,7,0,8192,00000000000001,10000000000000,4
2,2,2,256,175,0.06640625,0.0,0.93359375,17,0,0,00000000000000,00000000000000,5
2,2,2,256,176,0.04296875,0.0,0.95703125,11,0,4608,00000000010010,01001000000000,4
2,2,2,256,177,0.0625,0.0,0.9375,16,0,10754,01000000010101,10101000000010,4
2,2,2,256,178,0.0703125,0.01171875,0.9296875,18,3,14371,11000100000111,11100000100011,4
2,2,2,256,179,0.0625,0.00390625,0.9375,16,1,9,10010000000000,00000000001001,5
2,2,2,256,180,0.0703125,0.0,0.9296875,18,0,4097,10000000000010,01000000000001,4
2,2,2,256,181,0.078125,0.0078125,0.921875,20,2,10273,10000100000101,10100000100001,6
2,2,2,256,182,0.046875,0.0,0.953125,12,0,8193,10000000000001,10000000000001,6
2,2,2,256,183,0.04296875,0.0,0.95703125,11,0,8192,00000000000001,10000000000000,6
2,2,2,256,184,0.05078125,0.00390625,0.94921875,13,1,9218,01000000001001,10010000000010,5
2,2,2,256,185,0.0234375,0.0,0.9765625,6,0,8201,10010000000001,10000000001001,4
2,2,2,256,186,0.0390625,0.00390625,0.9609375,10,1,8193,10000000000001,10000000000001,5
2,2,2,256,187,0.046875,0.00390625,0.953125,12,1,9,10010000000000,00000000001001,3
2,2,2,256,188,0.0703125,0.00390625,0.9296875,18,1,8192,00000000000001,10000000000000,4
2,2,2,256,189,0.0390625,0.00390625,0.9609375,10,1,8201,10010000000001,10000000001001,4
