run_id,algorithm,checkpoint_index,checkpoint,basis_index,basis_label,energy,feasible,exact_optimal,decoded_route,magnitude,probability,phase,real,imag
grover_global_p2_seed2601,grover_global,3,Cost-2,8192,00000000000001,14.0,False,False,,0.0041428030646813215,1.716281723273295e-05,1.7492716061507299,-0.0007354688415945054,0.004076996788786641
grover_global_p2_seed2601,grover_global,4,Mixer-2,10377,10010001000101,10.0,True,True,0->1->2->4->5->6,0.014607261022296448,0.00021337207457350105,0.5866706175499952,0.012164757665253578,0.008086454446737171
grover_global_p2_seed2601,grover_global,4,Mixer-2,4233,10010001000010,11.0,True,False,0->1->2->4->6,0.014534679150869185,0.00021125689801871137,0.5792517838550273,0.01216367263956864,0.007956253259928362
grover_global_p2_seed2601,grover_global,4,Mixer-2,9289,10010010001001,11.0,True,False,0->1->2->3->5->6,0.014534679150869185,0.00021125689801871137,0.5792517838550273,0.01216367263956864,0.007956253259928362
grover_global_p2_seed2601,grover_global,4,Mixer-2,10370,01000001000101,11.0,True,False,0->2->4->5->6,0.014534679150869185,0.00021125689801871137,0.5792517838550273,0.01216367263956864,0.007956253259928362
grover_global_p2_seed2601,grover_global,4,Mixer-2,0,00000000000000,12.0,False,False,,0.014461100225911324,0.00020912341974385255,0.5718421924422827,0.012160417863897693,0.007826088238657318
grover_global_p2_seed2601,grover_global,4,Mixer-2,1,10000000000000,14.0,False,False,,0.014310972482285831,0.00020480393338874228,0.5570518226182382,0.012147403281302248,0.007566011294608915
grover_global_p2_seed2601,grover_global,4,Mixer-2,8192,00000000000001,14.0,False,False,,0.014310972482285831,0.00020480393338874228,0.5570518226182382,0.012147403281302248,0.007566011294608915
grover_feasible_p2_seed2601,grover_feasible,0,Initial,0,route_0:10010001000101,10.0,True,True,0->1->2->4->5->6,0.22360679774997896,0.049999999999999996,0.0,0.22360679774997896,0.0
grover_feasible_p2_seed2601,grover_feasible,0,Initial,1,route_1:10010010010101,11.0,True,False,0->1->2->3->4->5->6,0.22360679774997896,0.049999999999999996,0.0,0.22360679774997896,0.0
grover_feasible_p2_seed2601,grover_feasible,0,Initial,2,route_2:10010010001001,11.0,True,False,0->1->2->3->5->6,0.22360679774997896,0.049999999999999996,0.0,0.22360679774997896,0.0
grover_feasible_p2_seed2601,grover_feasible,0,Initial,3,route_3:10010001000010,11.0,True,False,0->1->2->4->6,0.22360679774997896,0.049999999999999996,0.0,0.22360679774997896,0.0
grover_feasible_p2_seed2601,grover_feasible,1,Cost-1,0,route_0:10010001000101,10.0,True,True,0->1->2->4->5->6,0.22360679774997896,0.049999999999999996,0.0,0.22360679774997896,0.0
grover_feasible_p2_seed2601,grover_feasible,1,Cost-1,1,route_1:10010010010101,11.0,True,False,0->1->2->3->4->5->6,0.22360679774997896,0.049999999999999996,-0.5388982742013865,0.19191603435769924,-0.11475293354165025
grover_feasible_p2_seed2601,grover_feasible,1,Cost-1,2,route_2:10010010001001,11.0,True,False,0->1->2->3->5->6,0.22360679774997896,0.049999999999999996,-0.5388982742013865,0.19191603435769924,-0.11475293354165025
grover_feasible_p2_seed2601,grover_feasible,1,Cost-1,3,route_3:10010001000010,11.0,True,False,0->1->2->4->6,0.22360679774997896,0.049999999999999996,-0.5388982742013865,0.19191603435769924,-0.11475293354165025
grover_feasible_p2_seed2601,grover_feasible,2,Mixer-1,0,route_0:10010001000101,10.0,True,True,0->1->2->4->5->6,0.19700314153850682,0.03881023777604095,1.7660141900077613,-0.03821472151468988,0.19326115190486587
