algorithm,depth,seed,representation,search_dimension,mixer_type,parameter_count,initialization_source,evaluation_budget,evaluation_budget_used,optimizer_reason,optimizer_success,optimizer_wall_time_seconds,p_feas,p_opt,invalid_mass,expected_cost_full,expected_cost_feasible,feasible_conditional_p_opt,normalized_regret,bsp
penalty_x,50,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),100,continuation_from_p49_plus_seed_small_angle,230,230,evaluation_budget_exhausted,False,19.848720300011337,0.001167091619241416,5.8295198077789756e-05,0.9988329083807584,26.079856314825268,12.200490477471696,0.0499491189180849,1.6079856314825267,nan
penalty_x,51,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),102,continuation_from_p50_plus_seed_small_angle,233,233,evaluation_budget_exhausted,False,21.707913299964275,0.0011666503974904709,5.8272656127230706e-05,0.9988333496025096,26.080530212706496,12.200494637648605,0.04994868750105292,1.6080530212706496,nan
penalty_x,52,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),104,continuation_from_p51_plus_seed_small_angle,236,236,evaluation_budget_exhausted,False,24.02560660004383,0.001163274403267343,5.8100182243067116e-05,0.9988367255967326,26.085694902297735,12.200526531760268,0.049945380109695896,1.6085694902297736,nan
penalty_x,53,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),106,continuation_from_p52_plus_seed_small_angle,239,239,evaluation_budget_exhausted,False,22.57339180004783,0.0011598852114925924,5.79270415035795e-05,0.9988401147885075,26.090896907836473,12.200558677363599,0.04994204679016157,1.6090896907836474,nan
penalty_x,54,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),108,continuation_from_p53_plus_seed_small_angle,242,242,evaluation_budget_exhausted,False,25.69186580000678,0.0011593667551644165,5.790055640734814e-05,0.9988406332448355,26.09169397420017,12.200563604506566,0.04994153588536953,1.609169397420017,nan
penalty_x,55,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),110,continuation_from_p54_plus_seed_small_angle,245,245,evaluation_budget_exhausted,False,27.718254600011278,0.0011551985791177952,5.76876337404061e-05,0.9988448014208824,26.0981163877778,12.200603323274928,0.04993741749964852,1.60981163877778,nan
penalty_x,56,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),112,continuation_from_p55_plus_seed_small_angle,248,248,evaluation_budget_exhausted,False,31.01500600000145,0.001154117331867823,5.763240217688784e-05,0.998845882668132,26.099786839504986,12.20061365940309,0.04993634579910137,1.6099786839504986,nan
penalty_x,57,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),114,continuation_from_p56_plus_seed_small_angle,251,251,evaluation_budget_exhausted,False,26.274370900006033,0.0011508203746659275,5.74639950720363e-05,0.998849179625334,26.10488990258481,12.200645247808612,0.04993307064859498,1.610488990258481,nan
penalty_x,58,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),116,continuation_from_p57_plus_seed_small_angle,254,254,evaluation_budget_exhausted,False,26.928869600000326,0.0011493619493516468,5.738950168252191e-05,0.9988506380506484,26.107152480785917,12.200659259842249,0.04993161789886574,1.6107152480785918,nan
penalty_x,59,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),118,continuation_from_p58_plus_seed_small_angle,257,257,evaluation_budget_exhausted,False,27.60696879995521,0.001145660625960577,5.7200451010440476e-05,0.9988543393740393,26.112910394134683,12.200694937050972,0.049927919066329846,1.6112910394134683,nan
